date,dates,rank,song,artist
02/10/1971,01/10/1971,9,Yo-Yo,The Osmonds
02/10/1971,01/10/1971,10,Do You Know What I Mean,Lee Michaels
02/10/1971,01/10/1971,11,Stick-Up,The Honey Cone
02/10/1971,01/10/1971,12,If You Really Love Me,Stevie Wonder
02/10/1971,01/10/1971,13,I Woke Up In Love This Morning,The Partridge Family Starring Shirley Jones Featuring David Cassidy
02/10/1971,01/10/1971,14,Sweet City Woman,Stampeders
02/10/1971,01/10/1971,15,Tired Of Being Alone,Al Green
06/11/1971,01/11/1971,1,"Gypsys, Tramps & Thieves",Cher
06/11/1971,01/11/1971,2,Theme From Shaft,Isaac Hayes
06/11/1971,01/11/1971,3,Maggie May/Reason To Believe,Rod Stewart
06/11/1971,01/11/1971,4,Imagine,John Lennon Plastic Ono Band
06/11/1971,01/11/1971,5,Yo-Yo,The Osmonds
06/11/1971,01/11/1971,6,Superstar/Bless The Beasts And Children,Carpenters
06/11/1971,01/11/1971,7,Peace Train,Cat Stevens
06/11/1971,01/11/1971,8,I've Found Someone Of My Own,The Free Movement
06/11/1971,01/11/1971,9,Inner City Blues (Make Me Wanna Holler),Marvin Gaye
06/11/1971,01/11/1971,10,The Night They Drove Old Dixie Down,Joan Baez
06/11/1971,01/11/1971,11,Tired Of Being Alone,Al Green
06/11/1971,01/11/1971,12,Do You Know What I Mean,Lee Michaels
06/11/1971,01/11/1971,13,Trapped By A Thing Called Love,Denise LaSalle
06/11/1971,01/11/1971,14,Have You Seen Her,The Chi-lites
06/11/1971,01/11/1971,15,If You Really Love Me,Stevie Wonder
04/12/1971,01/12/1971,1,Family Affair,Sly & The Family Stone
04/12/1971,01/12/1971,2,Theme From Shaft,Isaac Hayes
04/12/1971,01/12/1971,3,Baby I'm - A Want You,Bread
04/12/1971,01/12/1971,4,Have You Seen Her,The Chi-lites
04/12/1971,01/12/1971,5,"Gypsys, Tramps & Thieves",Cher
04/12/1971,01/12/1971,6,Got To Be There,Michael Jackson
04/12/1971,01/12/1971,7,An Old Fashioned Love Song,Three Dog Night
04/12/1971,01/12/1971,8,Desiderata,Les Crane
04/12/1971,01/12/1971,9,Rock Steady,Aretha Franklin
04/12/1971,01/12/1971,10,Imagine,John Lennon Plastic Ono Band
04/12/1971,01/12/1971,11,All I Ever Need Is You,Sonny & Cher
04/12/1971,01/12/1971,12,Everybody's Everything,Santana
04/12/1971,01/12/1971,13,Cherish,David Cassidy
04/12/1971,01/12/1971,14,Peace Train,Cat Stevens
04/12/1971,01/12/1971,15,Brand New Key,Melanie
01/01/1972,01/01/1972,1,Brand New Key,Melanie
01/01/1972,01/01/1972,2,American Pie (Parts I & II),Don McLean
01/01/1972,01/01/1972,3,Family Affair,Sly & The Family Stone
01/01/1972,01/01/1972,4,An Old Fashioned Love Song,Three Dog Night
01/01/1972,01/01/1972,5,Got To Be There,Michael Jackson
01/01/1972,01/01/1972,6,Have You Seen Her,The Chi-lites
01/01/1972,01/01/1972,7,Scorpio,Dennis Coffey & The Detroit Guitar Band
01/01/1972,01/01/1972,8,Sunshine,Jonathan Edwards
01/01/1972,01/01/1972,9,Cherish,David Cassidy
01/01/1972,01/01/1972,10,Hey Girl/I Knew You When,Donny Osmond
01/01/1972,01/01/1972,11,All I Ever Need Is You,Sonny & Cher
01/01/1972,01/01/1972,12,I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers
01/01/1972,01/01/1972,13,You Are Everything,The Stylistics
01/01/1972,01/01/1972,14,Let's Stay Together,Al Green
01/01/1972,01/01/1972,15,Respect Yourself,The Staple Singers
05/02/1972,01/02/1972,1,American Pie (Parts I & II),Don McLean
05/02/1972,01/02/1972,2,Let's Stay Together,Al Green
05/02/1972,01/02/1972,3,Brand New Key,Melanie
05/02/1972,01/02/1972,4,Day After Day,Badfinger
05/02/1972,01/02/1972,5,Without You,Nilsson
05/02/1972,01/02/1972,6,Never Been To Spain,Three Dog Night
05/02/1972,01/02/1972,7,Sunshine,Jonathan Edwards
05/02/1972,01/02/1972,8,Precious And Few,Climax
05/02/1972,01/02/1972,9,Hurting Each Other,Carpenters
05/02/1972,01/02/1972,10,Joy,Apollo featuring Tom Parker
05/02/1972,01/02/1972,11,Clean Up Woman,Betty Wright
05/02/1972,01/02/1972,12,Down By The Lazy River,The Osmonds
05/02/1972,01/02/1972,13,Scorpio,Dennis Coffey & The Detroit Guitar Band
05/02/1972,01/02/1972,14,Anticipation,Carly Simon
05/02/1972,01/02/1972,15,You Are Everything,The Stylistics
04/03/1972,01/03/1972,1,Without You,Nilsson
04/03/1972,01/03/1972,2,Hurting Each Other,Carpenters
04/03/1972,01/03/1972,3,Precious And Few,Climax
04/03/1972,01/03/1972,4,Down By The Lazy River,The Osmonds
04/03/1972,01/03/1972,5,Everything I Own,Bread
04/03/1972,01/03/1972,6,The Lion Sleeps Tonight,Robert John
04/03/1972,01/03/1972,7,Heart Of Gold,Neil Young
04/03/1972,01/03/1972,8,Let's Stay Together,Al Green
04/03/1972,01/03/1972,9,Sweet Seasons,Carole King
04/03/1972,01/03/1972,10,Bang A Gong (Get It On),T. Rex
04/03/1972,01/03/1972,11,The Way Of Love,Cher
04/03/1972,01/03/1972,12,American Pie (Parts I & II),Don McLean
04/03/1972,01/03/1972,13,Joy,Apollo featuring Tom Parker
04/03/1972,01/03/1972,14,Mother And Child Reunion,Paul Simon
04/03/1972,01/03/1972,15,Don't Say You Don't Remember,Beverly Bremers
01/04/1972,01/04/1972,1,A Horse With No Name,America
01/04/1972,01/04/1972,2,Heart Of Gold,Neil Young
01/04/1972,01/04/1972,3,Puppy Love,Donny Osmond
01/04/1972,01/04/1972,4,Mother And Child Reunion,Paul Simon
01/04/1972,01/04/1972,5,The Lion Sleeps Tonight,Robert John
01/04/1972,01/04/1972,6,I Gotcha,Joe Tex
01/04/1972,01/04/1972,7,Without You,Nilsson
01/04/1972,01/04/1972,8,Jungle Fever,The Chakachas
01/04/1972,01/04/1972,9,Rockin' Robin,Michael Jackson
01/04/1972,01/04/1972,10,The First Time Ever I Saw Your Face,Roberta Flack
01/04/1972,01/04/1972,11,In The Rain,The Dramatics
01/04/1972,01/04/1972,12,Everything I Own,Bread
01/04/1972,01/04/1972,13,The Way Of Love,Cher
01/04/1972,01/04/1972,14,"Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr."
01/04/1972,01/04/1972,15,Rock And Roll Lullaby,B.J. Thomas
06/05/1972,01/05/1972,1,The First Time Ever I Saw Your Face,Roberta Flack
06/05/1972,01/05/1972,2,I Gotcha,Joe Tex
06/05/1972,01/05/1972,3,"Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr."
06/05/1972,01/05/1972,4,Rockin' Robin,Michael Jackson
06/05/1972,01/05/1972,5,Day Dreaming,Aretha Franklin
06/05/1972,01/05/1972,6,A Horse With No Name,America
06/05/1972,01/05/1972,7,I'll Take You There,The Staple Singers
06/05/1972,01/05/1972,8,Doctor My Eyes,Jackson Browne
06/05/1972,01/05/1972,9,Look What You Done For Me,Al Green
06/05/1972,01/05/1972,10,Back Off Boogaloo,Ringo Starr
06/05/1972,01/05/1972,11,Oh Girl,The Chi-lites
06/05/1972,01/05/1972,12,The Family Of Man,Three Dog Night
06/05/1972,01/05/1972,13,"Vincent (Starry, Starry Night)/Castles In The Air",Don McLean
06/05/1972,01/05/1972,14,Baby Blue,Badfinger
06/05/1972,01/05/1972,15,In The Rain,The Dramatics
03/06/1972,01/06/1972,1,I'll Take You There,The Staple Singers
03/06/1972,01/06/1972,2,Oh Girl,The Chi-lites
03/06/1972,01/06/1972,3,The First Time Ever I Saw Your Face,Roberta Flack
03/06/1972,01/06/1972,4,The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
03/06/1972,01/06/1972,5,Sylvia's Mother,Dr. Hook And The Medicine Show
03/06/1972,01/06/1972,6,Morning Has Broken,Cat Stevens
03/06/1972,01/06/1972,7,Tumbling Dice,The Rolling Stones
03/06/1972,01/06/1972,8,Nice To Be With You,Gallery
03/06/1972,01/06/1972,9,Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen
03/06/1972,01/06/1972,10,Look What You Done For Me,Al Green
03/06/1972,01/06/1972,11,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension
03/06/1972,01/06/1972,12,Song Sung Blue,Neil Diamond
03/06/1972,01/06/1972,13,Little Bitty Pretty One,Jackson 5
03/06/1972,01/06/1972,14,Walkin' In The Rain With The One I Love,Love Unlimited
03/06/1972,01/06/1972,15,It's Going To Take Some Time,Carpenters
01/07/1972,01/07/1972,1,Song Sung Blue,Neil Diamond
01/07/1972,01/07/1972,2,The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
01/07/1972,01/07/1972,3,Outa-Space,Billy Preston
01/07/1972,01/07/1972,4,Lean On Me,Bill Withers
01/07/1972,01/07/1972,5,Too Late To Turn Back Now,Cornelius Brothers & Sister Rose
01/07/1972,01/07/1972,6,Troglodyte (Cave Man),The Jimmy Castor Bunch
01/07/1972,01/07/1972,7,Nice To Be With You,Gallery
01/07/1972,01/07/1972,8,Rocket Man,Elton John
01/07/1972,01/07/1972,9,I Need You,America
01/07/1972,01/07/1972,10,Daddy Don't You Walk So Fast,Wayne Newton
01/07/1972,01/07/1972,11,Amazing Grace,The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
01/07/1972,01/07/1972,12,I'll Take You There,The Staple Singers
01/07/1972,01/07/1972,13,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension
01/07/1972,01/07/1972,14,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram
01/07/1972,01/07/1972,15,Oh Girl,The Chi-lites
05/08/1972,01/08/1972,1,Alone Again (Naturally),Gilbert O'Sullivan
05/08/1972,01/08/1972,2,Brandy (You're A Fine Girl),Looking Glass
05/08/1972,01/08/1972,3,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram
05/08/1972,01/08/1972,4,Daddy Don't You Walk So Fast,Wayne Newton
05/08/1972,01/08/1972,5,Too Late To Turn Back Now,Cornelius Brothers & Sister Rose
05/08/1972,01/08/1972,6,Where Is The Love,Roberta Flack & Donny Hathaway
05/08/1972,01/08/1972,7,School's Out,Alice Cooper
05/08/1972,01/08/1972,8,How Do You Do?,Mouth & MacNeal
05/08/1972,01/08/1972,9,Long Cool Woman (In A Black Dress),The Hollies
05/08/1972,01/08/1972,10,Layla,Derek & The Dominos
05/08/1972,01/08/1972,11,Lean On Me,Bill Withers
05/08/1972,01/08/1972,12,Coconut,Nilsson
05/08/1972,01/08/1972,13,Day By Day,Godspell
05/08/1972,01/08/1972,14,Hold Her Tight,The Osmonds
05/08/1972,01/08/1972,15,I'm Still In Love With You,Al Green
02/09/1972,01/09/1972,1,Alone Again (Naturally),Gilbert O'Sullivan
02/09/1972,01/09/1972,2,Long Cool Woman (In A Black Dress),The Hollies
02/09/1972,01/09/1972,3,I'm Still In Love With You,Al Green
02/09/1972,01/09/1972,4,Brandy (You're A Fine Girl),Looking Glass
02/09/1972,01/09/1972,5,Hold Your Head Up,Argent
02/09/1972,01/09/1972,6,Baby Don't Get Hooked On Me,Mac Davis
02/09/1972,01/09/1972,7,Goodbye To Love,Carpenters
02/09/1972,01/09/1972,8,You Don't Mess Around With Jim,Jim Croce
02/09/1972,01/09/1972,9,Rock And Roll Part 2,Gary Glitter
02/09/1972,01/09/1972,10,Back Stabbers,The O'Jays
02/09/1972,01/09/1972,11,The Guitar Man,Bread
02/09/1972,01/09/1972,12,Motorcycle Mama,Sailcat
02/09/1972,01/09/1972,13,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram
02/09/1972,01/09/1972,14,Black & White,Three Dog Night
02/09/1972,01/09/1972,15,Saturday In The Park,Chicago
07/10/1972,01/10/1972,1,Baby Don't Get Hooked On Me,Mac Davis
07/10/1972,01/10/1972,2,Ben,Michael Jackson
07/10/1972,01/10/1972,3,Back Stabbers,The O'Jays
07/10/1972,01/10/1972,4,Everybody Plays The Fool,The Main Ingredient
07/10/1972,01/10/1972,5,Go All The Way,Raspberries
07/10/1972,01/10/1972,6,Use Me,Bill Withers
07/10/1972,01/10/1972,7,Burning Love,Elvis Presley
07/10/1972,01/10/1972,8,Black & White,Three Dog Night
07/10/1972,01/10/1972,9,My Ding-A-Ling,Chuck Berry
07/10/1972,01/10/1972,10,Popcorn,Hot Butter
07/10/1972,01/10/1972,11,Play Me,Neil Diamond
07/10/1972,01/10/1972,12,Nights In White Satin,The Moody Blues
07/10/1972,01/10/1972,13,Saturday In The Park,Chicago
07/10/1972,01/10/1972,14,Speak To The Sky,Rick Springfield
07/10/1972,01/10/1972,15,Garden Party,Rick Nelson And The Stone Canyon Band
04/11/1972,01/11/1972,1,I Can See Clearly Now,Johnny Nash
04/11/1972,01/11/1972,2,Nights In White Satin,The Moody Blues
04/11/1972,01/11/1972,3,My Ding-A-Ling,Chuck Berry
04/11/1972,01/11/1972,4,"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield
04/11/1972,01/11/1972,5,Burning Love,Elvis Presley
04/11/1972,01/11/1972,6,Garden Party,Rick Nelson And The Stone Canyon Band
04/11/1972,01/11/1972,7,I'll Be Around,The Spinners
04/11/1972,01/11/1972,8,I'd Love You To Want Me,Lobo
04/11/1972,01/11/1972,9,Good Time Charlie's Got The Blues,Danny O'Keefe
04/11/1972,01/11/1972,10,Ben,Michael Jackson
04/11/1972,01/11/1972,11,Listen To The Music,The Doobie Brothers
04/11/1972,01/11/1972,12,I Am Woman,Helen Reddy
04/11/1972,01/11/1972,13,Use Me,Bill Withers
04/11/1972,01/11/1972,14,If I Could Reach You,The 5th Dimension
04/11/1972,01/11/1972,15,Witchy Woman,Eagles
02/12/1972,01/12/1972,1,Papa Was A Rollin' Stone,The Temptations
02/12/1972,01/12/1972,2,I Am Woman,Helen Reddy
02/12/1972,01/12/1972,3,I Can See Clearly Now,Johnny Nash
02/12/1972,01/12/1972,4,I'd Love You To Want Me,Lobo
02/12/1972,01/12/1972,5,If You Don't Know Me By Now,Harold Melvin And The Blue Notes
02/12/1972,01/12/1972,6,Summer Breeze,Seals & Crofts
02/12/1972,01/12/1972,7,You Ought To Be With Me,Al Green
02/12/1972,01/12/1972,8,It Never Rains In Southern California,Albert Hammond
02/12/1972,01/12/1972,9,I'll Be Around,The Spinners
02/12/1972,01/12/1972,10,Ventura Highway,America
02/12/1972,01/12/1972,11,I'm Stone In Love With You,The Stylistics
02/12/1972,01/12/1972,12,Clair,Gilbert O'Sullivan
02/12/1972,01/12/1972,13,Me And Mrs. Jones,Billy Paul
02/12/1972,01/12/1972,14,If I Could Reach You,The 5th Dimension
02/12/1972,01/12/1972,15,Crazy Horses,The Osmonds
06/01/1973,01/01/1973,1,You're So Vain,Carly Simon
06/01/1973,01/01/1973,2,Clair,Gilbert O'Sullivan
06/01/1973,01/01/1973,3,Me And Mrs. Jones,Billy Paul
06/01/1973,01/01/1973,4,Superstition,Stevie Wonder
06/01/1973,01/01/1973,5,Funny Face,Donna Fargo
06/01/1973,01/01/1973,6,It Never Rains In Southern California,Albert Hammond
06/01/1973,01/01/1973,7,Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers
06/01/1973,01/01/1973,8,Your Mama Don't Dance,Kenny Loggins & Jim Messina
06/01/1973,01/01/1973,9,Superfly,Curtis Mayfield
06/01/1973,01/01/1973,10,You Ought To Be With Me,Al Green
06/01/1973,01/01/1973,11,Keeper Of The Castle,Four Tops
06/01/1973,01/01/1973,12,Living In The Past,Jethro Tull
06/01/1973,01/01/1973,13,Crocodile Rock,Elton John
06/01/1973,01/01/1973,14,I Am Woman,Helen Reddy
06/01/1973,01/01/1973,15,Don't Let Me Be Lonely Tonight,James Taylor
03/02/1973,01/02/1973,1,Crocodile Rock,Elton John
03/02/1973,01/02/1973,2,You're So Vain,Carly Simon
03/02/1973,01/02/1973,3,Superstition,Stevie Wonder
03/02/1973,01/02/1973,4,Why Can't We Live Together,Timmy Thomas
03/02/1973,01/02/1973,5,Your Mama Don't Dance,Kenny Loggins & Jim Messina
03/02/1973,01/02/1973,6,"Oh, Babe, What Would You Say?",Hurricane Smith
03/02/1973,01/02/1973,7,Trouble Man,Marvin Gaye
03/02/1973,01/02/1973,8,The World Is A Ghetto,War
03/02/1973,01/02/1973,9,Do It Again,Steely Dan
03/02/1973,01/02/1973,10,"Hi, Hi, Hi",Wings
03/02/1973,01/02/1973,11,Me And Mrs. Jones,Billy Paul
03/02/1973,01/02/1973,12,Don't Expect Me To Be Your Friend,Lobo
03/02/1973,01/02/1973,13,Could It Be I'm Falling In Love,The Spinners
03/02/1973,01/02/1973,14,Rocky Mountain High,John Denver
03/02/1973,01/02/1973,15,Dancing In The Moonlight,King Harvest
03/03/1973,01/03/1973,1,Killing Me Softly With His Song,Roberta Flack
03/03/1973,01/03/1973,2,Dueling Banjos,Deliverance/Eric Weissberg & Steve Mandell
03/03/1973,01/03/1973,3,Last Song,Edward Bear
03/03/1973,01/03/1973,4,Could It Be I'm Falling In Love,The Spinners
03/03/1973,01/03/1973,5,Crocodile Rock,Elton John
03/03/1973,01/03/1973,6,You're So Vain,Carly Simon
03/03/1973,01/03/1973,7,Love Train,The O'Jays
03/03/1973,01/03/1973,8,Also Sprach Zarathustra (2001),Deodato
03/03/1973,01/03/1973,9,Rocky Mountain High,John Denver
03/03/1973,01/03/1973,10,Don't Expect Me To Be Your Friend,Lobo
03/03/1973,01/03/1973,11,"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show
03/03/1973,01/03/1973,12,Daddy's Home,Jermaine Jackson
03/03/1973,01/03/1973,13,Dancing In The Moonlight,King Harvest
03/03/1973,01/03/1973,14,Do It Again,Steely Dan
03/03/1973,01/03/1973,15,"Oh, Babe, What Would You Say?",Hurricane Smith
07/04/1973,01/04/1973,1,The Night The Lights Went Out In Georgia,Vicki Lawrence
07/04/1973,01/04/1973,2,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips
07/04/1973,01/04/1973,3,Killing Me Softly With His Song,Roberta Flack
07/04/1973,01/04/1973,4,Ain't No Woman (Like The One I've Got),Four Tops
07/04/1973,01/04/1973,5,Break Up To Make Up,The Stylistics
07/04/1973,01/04/1973,6,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
07/04/1973,01/04/1973,7,Sing,Carpenters
07/04/1973,01/04/1973,8,Danny's Song,Anne Murray
07/04/1973,01/04/1973,9,Also Sprach Zarathustra (2001),Deodato
07/04/1973,01/04/1973,10,The Cisco Kid,War
07/04/1973,01/04/1973,11,Call Me (Come Back Home),Al Green
07/04/1973,01/04/1973,12,Love Train,The O'Jays
07/04/1973,01/04/1973,13,Last Song,Edward Bear
07/04/1973,01/04/1973,14,Masterpiece,The Temptations
07/04/1973,01/04/1973,15,Space Oddity,David Bowie
05/05/1973,01/05/1973,1,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
05/05/1973,01/05/1973,2,The Cisco Kid,War
05/05/1973,01/05/1973,3,Little Willy,The Sweet
05/05/1973,01/05/1973,4,You Are The Sunshine Of My Life,Stevie Wonder
05/05/1973,01/05/1973,5,The Night The Lights Went Out In Georgia,Vicki Lawrence
05/05/1973,01/05/1973,6,Drift Away,Dobie Gray
05/05/1973,01/05/1973,7,Stuck In The Middle With You,Stealers Wheel
05/05/1973,01/05/1973,8,The Twelfth Of Never,Donny Osmond
05/05/1973,01/05/1973,9,Sing,Carpenters
05/05/1973,01/05/1973,10,Frankenstein,Edgar Winter Group
05/05/1973,01/05/1973,11,Masterpiece,The Temptations
05/05/1973,01/05/1973,12,Peaceful,Helen Reddy
05/05/1973,01/05/1973,13,Wildflower,Skylark
05/05/1973,01/05/1973,14,Daniel,Elton John
05/05/1973,01/05/1973,15,Reeling In The Years,Steely Dan
02/06/1973,01/06/1973,1,My Love,Paul McCartney And Wings
02/06/1973,01/06/1973,2,Daniel,Elton John
02/06/1973,01/06/1973,3,Frankenstein,Edgar Winter Group
02/06/1973,01/06/1973,4,Pillow Talk,Sylvia (r&b)
02/06/1973,01/06/1973,5,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
02/06/1973,01/06/1973,6,You Are The Sunshine Of My Life,Stevie Wonder
02/06/1973,01/06/1973,7,I'm Gonna Love You Just A Little More Baby,Barry White
02/06/1973,01/06/1973,8,Little Willy,The Sweet
02/06/1973,01/06/1973,9,Hocus Pocus,Focus
02/06/1973,01/06/1973,10,Playground In My Mind,Clint Holmes
02/06/1973,01/06/1973,11,Drift Away,Dobie Gray
02/06/1973,01/06/1973,12,Reeling In The Years,Steely Dan
02/06/1973,01/06/1973,13,Wildflower,Skylark
02/06/1973,01/06/1973,14,Give Me Love - (Give Me Peace On Earth),George Harrison
02/06/1973,01/06/1973,15,Stuck In The Middle With You,Stealers Wheel
07/07/1973,01/07/1973,1,Will It Go Round In Circles,Billy Preston
07/07/1973,01/07/1973,2,Kodachrome,Paul Simon
07/07/1973,01/07/1973,3,My Love,Paul McCartney And Wings
07/07/1973,01/07/1973,4,Give Me Love - (Give Me Peace On Earth),George Harrison
07/07/1973,01/07/1973,5,"Bad, Bad Leroy Brown",Jim Croce
07/07/1973,01/07/1973,6,Playground In My Mind,Clint Holmes
07/07/1973,01/07/1973,7,Shambala,Three Dog Night
07/07/1973,01/07/1973,8,Yesterday Once More,Carpenters
07/07/1973,01/07/1973,9,Right Place Wrong Time,Dr. John
07/07/1973,01/07/1973,10,I'm Gonna Love You Just A Little More Baby,Barry White
07/07/1973,01/07/1973,11,Smoke On The Water,Deep Purple
07/07/1973,01/07/1973,12,Long Train Runnin',The Doobie Brothers
07/07/1973,01/07/1973,13,Natural High,Bloodstone
07/07/1973,01/07/1973,14,Boogie Woogie Bugle Boy,Bette Midler
07/07/1973,01/07/1973,15,One Of A Kind (Love Affair),The Spinners
04/08/1973,01/08/1973,1,The Morning After,Maureen McGovern
04/08/1973,01/08/1973,2,"Bad, Bad Leroy Brown",Jim Croce
04/08/1973,01/08/1973,3,Live And Let Die,Wings
04/08/1973,01/08/1973,4,Smoke On The Water,Deep Purple
04/08/1973,01/08/1973,5,Yesterday Once More,Carpenters
04/08/1973,01/08/1973,6,Diamond Girl,Seals & Crofts
04/08/1973,01/08/1973,7,Touch Me In The Morning,Diana Ross
04/08/1973,01/08/1973,8,Brother Louie,Stories
04/08/1973,01/08/1973,9,Will It Go Round In Circles,Billy Preston
04/08/1973,01/08/1973,10,Shambala,Three Dog Night
04/08/1973,01/08/1973,11,Feelin' Stronger Every Day,Chicago
04/08/1973,01/08/1973,12,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
04/08/1973,01/08/1973,13,I Believe In You (You Believe In Me),Johnnie Taylor
04/08/1973,01/08/1973,14,Get Down,Gilbert O'Sullivan
04/08/1973,01/08/1973,15,Uneasy Rider,Charlie Daniels
01/09/1973,01/09/1973,1,Brother Louie,Stories
01/09/1973,01/09/1973,2,Let's Get It On,Marvin Gaye
